BEAT,AVG_CALLS,HIGH_RISK_RATIO,SHIFT,SCENARIO,SCENARIO_DEMAND,UNITS,IS_HOTSPOT,SHIFT_HOURS,CAPACITY,COVERAGE,SHORTFALL
321,3.8098159509202456,0.782608695652174,Night,risk_aware_1.5,5.300613496932516,1,0,8.0,24.0,3.8098159509202456,0.0
322,1.6203208556149733,0.7557755775577558,Night,risk_aware_1.5,2.232620320855615,0,0,8.0,0.0,0.0,1.6203208556149733
323,1.3308823529411764,0.8121546961325967,Night,risk_aware_1.5,1.8713235294117645,0,0,8.0,0.0,0.0,1.3308823529411764
324,1.7121951219512197,0.7663817663817664,Night,risk_aware_1.5,2.3682926829268296,0,0,8.0,0.0,0.0,1.7121951219512197
325,1.4405594405594406,0.7669902912621359,Night,risk_aware_1.5,1.9930069930069931,0,0,8.0,0.0,0.0,1.4405594405594406
326,2.236514522821577,0.6679035250463822,Night,risk_aware_1.5,2.983402489626556,0,0,8.0,0.0,0.0,2.236514522821577
327,2.592592592592593,0.6728571428571428,Night,risk_aware_1.5,3.4648148148148152,1,0,8.0,24.0,2.592592592592593,0.0
431,1.3928571428571428,0.6709401709401709,Night,risk_aware_1.5,1.8601190476190474,0,0,8.0,0.0,0.0,1.3928571428571428
432,1.9030837004405283,0.6944444444444444,Night,risk_aware_1.5,2.563876651982379,0,0,8.0,0.0,0.0,1.9030837004405283
433,1.92018779342723,0.7432762836185819,Night,risk_aware_1.5,2.633802816901408,0,0,8.0,0.0,0.0,1.92018779342723
434,1.751131221719457,0.6666666666666666,Night,risk_aware_1.5,2.3348416289592757,0,0,8.0,0.0,0.0,1.751131221719457
435,1.0,0.8,Night,risk_aware_1.5,1.4,0,0,8.0,0.0,0.0,1.0
436,2.0916030534351147,0.5054744525547445,Night,risk_aware_1.5,2.6202290076335877,0,0,8.0,0.0,0.0,2.0916030534351147
437,2.52536231884058,0.7460545193687231,Night,risk_aware_1.5,3.4673913043478266,1,0,8.0,24.0,2.52536231884058,0.0
438,1.9791666666666667,0.728421052631579,Night,risk_aware_1.5,2.7,0,0,8.0,0.0,0.0,1.9791666666666667
439,1.2549019607843137,0.8125,Night,risk_aware_1.5,1.7647058823529411,0,0,8.0,0.0,0.0,1.2549019607843137
441,3.2072368421052637,0.6205128205128205,Night,risk_aware_1.5,4.202302631578948,1,0,8.0,24.0,3.2072368421052637,0.0
442,2.106382978723404,0.7151515151515152,Night,risk_aware_1.5,2.8595744680851065,0,0,8.0,0.0,0.0,2.106382978723404
443,1.5123456790123455,0.8979591836734694,Night,risk_aware_1.5,2.191358024691358,0,0,8.0,0.0,0.0,1.5123456790123455
444,1.6988636363636365,0.5852842809364549,Night,risk_aware_1.5,2.1960227272727275,0,0,8.0,0.0,0.0,1.6988636363636365
445,1.615,0.7832817337461301,Night,risk_aware_1.5,2.2475,0,0,8.0,0.0,0.0,1.615
446,2.3115384615384613,0.7637271214642263,Night,risk_aware_1.5,3.194230769230769,0,0,8.0,0.0,0.0,2.3115384615384613
447,1.841860465116279,0.7373737373737373,Night,risk_aware_1.5,2.5209302325581397,0,0,8.0,0.0,0.0,1.841860465116279
451,1.9637096774193548,0.6796714579055442,Night,risk_aware_1.5,2.631048387096774,0,0,8.0,0.0,0.0,1.9637096774193548
452,1.55625,0.714859437751004,Night,risk_aware_1.5,2.1125,0,0,8.0,0.0,0.0,1.55625
511,5.910769230769231,0.8047891723060906,Night,risk_aware_1.5,8.289230769230771,1,0,8.0,24.0,5.910769230769231,0.0
512,6.159638554216867,0.4004889975550122,Night,risk_aware_1.5,7.393072289156626,1,1,8.0,24.0,6.159638554216867,0.0
514,2.386617100371747,0.5872274143302181,Night,risk_aware_1.5,3.087360594795539,0,0,8.0,0.0,0.0,2.386617100371747
515,1.889952153110048,0.769620253164557,Night,risk_aware_1.5,2.6172248803827753,0,0,8.0,0.0,0.0,1.889952153110048
516,1.7972972972972974,0.6641604010025063,Night,risk_aware_1.5,2.394144144144144,0,0,8.0,0.0,0.0,1.7972972972972974
517,2.236162361623616,0.7293729372937293,Night,risk_aware_1.5,3.051660516605166,0,0,8.0,0.0,0.0,2.236162361623616
518,1.3706293706293706,0.6581632653061225,Night,risk_aware_1.5,1.8216783216783217,0,0,8.0,0.0,0.0,1.3706293706293706
521,18.197014925373136,0.593503937007874,Night,risk_aware_1.5,23.597014925373138,3,1,8.0,72.0,18.197014925373136,0.0
522,2.8106312292358804,0.6323877068557919,Night,risk_aware_1.5,3.699335548172758,1,0,8.0,24.0,2.8106312292358804,0.0
523,9.73065015479876,0.8469615017499205,Night,risk_aware_1.5,13.851393188854487,2,0,8.0,48.0,9.73065015479876,0.0
524,11.760479041916168,0.6484215885947047,Night,risk_aware_1.5,15.573353293413174,2,1,8.0,48.0,11.760479041916168,0.0
525,1.652941176470588,0.8220640569395018,Night,risk_aware_1.5,2.33235294117647,0,0,8.0,0.0,0.0,1.652941176470588
526,2.591695501730104,0.8130841121495327,Night,risk_aware_1.5,3.645328719723184,1,0,8.0,24.0,2.591695501730104,0.0
527,1.6032608695652173,0.8440677966101695,Night,risk_aware_1.5,2.279891304347826,0,0,8.0,0.0,0.0,1.6032608695652173
528,2.291970802919708,0.6162420382165605,Night,risk_aware_1.5,2.9981751824817517,0,0,8.0,0.0,0.0,2.291970802919708
529,2.809688581314879,0.7364532019704434,Night,risk_aware_1.5,3.8442906574394464,1,0,8.0,24.0,2.809688581314879,0.0
531,2.6543624161073827,0.4993678887484197,Night,risk_aware_1.5,3.3171140939597317,1,0,8.0,24.0,2.6543624161073827,0.0
541,1.986842105263158,0.7969094922737306,Night,risk_aware_1.5,2.7785087719298245,0,0,8.0,0.0,0.0,1.986842105263158
611,6.093939393939394,0.7463948284435604,Night,risk_aware_1.5,8.368181818181817,1,0,8.0,24.0,6.093939393939394,0.0
612,1.2993197278911566,0.8900523560209425,Night,risk_aware_1.5,1.8775510204081634,0,0,8.0,0.0,0.0,1.2993197278911566
613,2.5104895104895104,0.7437325905292479,Night,risk_aware_1.5,3.4440559440559437,1,0,8.0,24.0,2.5104895104895104,0.0
614,4.903030303030303,0.6118665018541409,Night,risk_aware_1.5,6.403030303030303,1,0,8.0,24.0,4.903030303030303,0.0
615,1.5935828877005347,0.7718120805369127,Night,risk_aware_1.5,2.2085561497326203,0,0,8.0,0.0,0.0,1.5935828877005347
616,1.206896551724138,0.8428571428571429,Night,risk_aware_1.5,1.7155172413793103,0,0,8.0,0.0,0.0,1.206896551724138
617,1.1956521739130437,0.5818181818181818,Night,risk_aware_1.5,1.5434782608695656,0,0,8.0,0.0,0.0,1.1956521739130437
618,1.1868131868131868,0.7407407407407407,Night,risk_aware_1.5,1.6263736263736261,0,0,8.0,0.0,0.0,1.1868131868131868
621,2.8762541806020065,0.7116279069767442,Night,risk_aware_1.5,3.899665551839465,1,0,8.0,24.0,2.8762541806020065,0.0
622,2.889610389610389,0.4146067415730337,Night,risk_aware_1.5,3.488636363636363,1,0,8.0,24.0,2.889610389610389,0.0
623,3.5764331210191083,0.7061442564559216,Night,risk_aware_1.5,4.8391719745222925,1,0,8.0,24.0,3.5764331210191083,0.0
624,2.376865671641791,0.7111459968602826,Night,risk_aware_1.5,3.2220149253731343,0,0,8.0,0.0,0.0,2.376865671641791
625,2.3252032520325203,0.7604895104895105,Night,risk_aware_1.5,3.209349593495935,0,0,8.0,0.0,0.0,2.3252032520325203
626,1.7866666666666666,0.6716417910447762,Night,risk_aware_1.5,2.3866666666666667,0,0,8.0,0.0,0.0,1.7866666666666666
627,5.830357142857143,0.7958141909137315,Night,risk_aware_1.5,8.15029761904762,1,0,8.0,24.0,5.830357142857143,0.0
628,1.7081081081081082,0.8006329113924051,Night,risk_aware_1.5,2.391891891891892,0,0,8.0,0.0,0.0,1.7081081081081082
711,1.0,0.8888888888888888,Night,risk_aware_1.5,1.4444444444444444,0,0,8.0,0.0,0.0,1.0
712,4.76595744680851,0.7340561224489796,Night,risk_aware_1.5,6.515197568389057,1,0,8.0,24.0,4.76595744680851,0.0
713,3.2427184466019416,0.5798403193612774,Night,risk_aware_1.5,4.182847896440129,1,0,8.0,24.0,3.2427184466019416,0.0
714,1.6859903381642511,0.8538681948424068,Night,risk_aware_1.5,2.4057971014492754,0,0,8.0,0.0,0.0,1.6859903381642511
